species,LAT,LONG
Peromyscus maniculatus sonoriensis,60.1358,-124.057
Peromyscus maniculatus sonoriensis,60.1358,-124.057
Peromyscus maniculatus sonoriensis,60.1358,-124.057
Peromyscus maniculatus sonoriensis,61.1,-135.2934
Peromyscus maniculatus sonoriensis,61.1,-135.2934
Peromyscus maniculatus sonoriensis,61.1,-135.2934
Peromyscus maniculatus sonoriensis,61.1,-135.2934
Peromyscus maniculatus sonoriensis,60.1,-128.602
Peromyscus maniculatus sonoriensis,60.097,-128.603
Peromyscus maniculatus sonoriensis,60.097,-128.603
Peromyscus maniculatus sonoriensis,60.0588,-135.2325
Peromyscus maniculatus sonoriensis,61.20045,-133.04693
Peromyscus maniculatus sonoriensis,60.06668,-133.7828
Peromyscus maniculatus sonoriensis,60.0141,-133.79548
Peromyscus maniculatus sonoriensis,60.05573,-133.80761
Peromyscus maniculatus sonoriensis,60.06656,-133.77998
Peromyscus maniculatus sonoriensis,60.06656,-133.77998
Peromyscus maniculatus sonoriensis,60.07343,-133.80309
Peromyscus maniculatus sonoriensis,60.07343,-133.80309
Peromyscus maniculatus sonoriensis,60.07343,-133.80309
Peromyscus maniculatus sonoriensis,60.0141,-133.79548
Peromyscus maniculatus sonoriensis,60.0141,-133.79548
Peromyscus maniculatus sonoriensis,60.05573,-133.80761
Peromyscus maniculatus sonoriensis,60.15271,-127.43541
Peromyscus maniculatus sonoriensis,60.14992,-127.4353
Peromyscus maniculatus sonoriensis,60.15271,-127.43541
Peromyscus maniculatus sonoriensis,60.06668,-133.7828
Peromyscus maniculatus sonoriensis,60.07343,-133.80309
Peromyscus maniculatus sonoriensis,60.0141,-133.79548
Peromyscus maniculatus sonoriensis,60.0141,-133.79548
Peromyscus maniculatus sonoriensis,60.05573,-133.80761
Peromyscus maniculatus sonoriensis,60.15271,-127.43541
Peromyscus maniculatus sonoriensis,60.14992,-127.4353
Peromyscus maniculatus sonoriensis,60.15271,-127.43541
Peromyscus maniculatus sonoriensis,60.06668,-133.7828
Peromyscus maniculatus sonoriensis,33.50722,-108.54945
Peromyscus maniculatus sonoriensis,36.7575,-108.18153
Peromyscus maniculatus sonoriensis,36.19751,-108.31174
Peromyscus maniculatus sonoriensis,42.08,-113.74
Peromyscus maniculatus sonoriensis,42.08,-113.71
Peromyscus maniculatus sonoriensis,42.09,-113.7
Peromyscus maniculatus sonoriensis,42.09,-113.7
Peromyscus maniculatus sonoriensis,42.08,-113.7
Peromyscus maniculatus sonoriensis,42.08,-113.69
Peromyscus maniculatus sonoriensis,42.07,-113.68
Peromyscus maniculatus sonoriensis,42.09,-113.72
Peromyscus maniculatus sonoriensis,42.08,-113.68
Peromyscus maniculatus sonoriensis,42.08,-113.73
Peromyscus maniculatus sonoriensis,45.05,-123.93
Peromyscus maniculatus sonoriensis,45.05,-123.93
Peromyscus maniculatus sonoriensis,45.05,-123.93
Peromyscus maniculatus sonoriensis,45.05,-123.93
Peromyscus maniculatus sonoriensis,45.05,-123.93
Peromyscus maniculatus sonoriensis,45.05,-123.93
Peromyscus maniculatus sonoriensis,45.05,-123.93
Peromyscus maniculatus sonoriensis,45.05,-123.93
Peromyscus maniculatus sonoriensis,45.05,-123.93
Peromyscus maniculatus sonoriensis,44.81,-117.68
Peromyscus maniculatus sonoriensis,44.81,-117.68
Peromyscus maniculatus sonoriensis,44.81,-117.68
Peromyscus maniculatus sonoriensis,44.81,-117.68
Peromyscus maniculatus sonoriensis,44.81,-117.68
Peromyscus maniculatus sonoriensis,44.81,-117.68
Peromyscus maniculatus sonoriensis,44.81,-117.68
Peromyscus maniculatus sonoriensis,44.81,-117.68
Peromyscus maniculatus sonoriensis,44.81,-117.68
Peromyscus maniculatus sonoriensis,44.81,-117.68
Peromyscus maniculatus sonoriensis,46.28,-113.99
Peromyscus maniculatus sonoriensis,46.28,-113.99
Peromyscus maniculatus sonoriensis,46.28,-113.99
Peromyscus maniculatus sonoriensis,46.28,-113.99
Peromyscus maniculatus sonoriensis,46.28,-113.99
Peromyscus maniculatus sonoriensis,46.28,-113.99
Peromyscus maniculatus sonoriensis,46.28,-113.99
Peromyscus maniculatus sonoriensis,46.28,-113.99
Peromyscus maniculatus sonoriensis,46.28,-113.99
Peromyscus maniculatus sonoriensis,46.28,-113.99
Peromyscus maniculatus sonoriensis,38.52,-109.28
Peromyscus maniculatus sonoriensis,38.52,-109.28
Peromyscus maniculatus sonoriensis,38.52,-109.28
Peromyscus maniculatus sonoriensis,38.52,-109.28
Peromyscus maniculatus sonoriensis,38.52,-109.28
Peromyscus maniculatus sonoriensis,38.52,-109.28
Peromyscus maniculatus sonoriensis,38.53,-109.28
Peromyscus maniculatus sonoriensis,38.53,-109.28
Peromyscus maniculatus sonoriensis,38.53,-109.28
Peromyscus maniculatus sonoriensis,38.53,-109.28
Peromyscus maniculatus sonoriensis,41.16,-112.93
Peromyscus maniculatus sonoriensis,41.16,-112.93
Peromyscus maniculatus sonoriensis,41.16,-112.93
Peromyscus maniculatus sonoriensis,41.16,-112.93
Peromyscus maniculatus sonoriensis,41.16,-112.93
Peromyscus maniculatus sonoriensis,41.16,-112.93
Peromyscus maniculatus sonoriensis,41.16,-112.93
Peromyscus maniculatus sonoriensis,41.16,-112.93
Peromyscus maniculatus sonoriensis,41.16,-112.93
Peromyscus maniculatus sonoriensis,41.16,-112.93
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,41.69,-118.74
Peromyscus maniculatus sonoriensis,34.82,-109.9
Peromyscus maniculatus sonoriensis,34.87,-109.79
Peromyscus maniculatus sonoriensis,34.05,-109.54
Peromyscus maniculatus sonoriensis,35.86,-106.42
Peromyscus maniculatus sonoriensis,35.86,-106.42
Peromyscus maniculatus sonoriensis,40.99,-124.05
Peromyscus maniculatus sonoriensis,47.22,-120.99
Peromyscus maniculatus sonoriensis,47.22,-120.99
Peromyscus maniculatus sonoriensis,47.22,-120.99
Peromyscus maniculatus sonoriensis,41,-124.09
Peromyscus maniculatus sonoriensis,41,-124.09
Peromyscus maniculatus sonoriensis,31.53,-108.87
Peromyscus maniculatus sonoriensis,38.47,-119.26
Peromyscus maniculatus sonoriensis,38.47,-119.26
Peromyscus maniculatus sonoriensis,38.47,-119.26
Peromyscus maniculatus sonoriensis,44.33,-123.5
Peromyscus maniculatus sonoriensis,44.33,-123.5
Peromyscus maniculatus sonoriensis,35.52,-105.18
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,38.12,-119.48
Peromyscus maniculatus sonoriensis,37.89,-122.24
Peromyscus maniculatus sonoriensis,38.5,-117.25
Peromyscus maniculatus sonoriensis,38.5,-117.25
Peromyscus maniculatus sonoriensis,38.5,-117.25
Peromyscus maniculatus sonoriensis,38.5,-117.25
Peromyscus maniculatus sonoriensis,38.5,-117.25
Peromyscus maniculatus sonoriensis,47.24,-121.19
Peromyscus maniculatus sonoriensis,47.24,-121.19
Peromyscus maniculatus sonoriensis,47.24,-121.19
Peromyscus maniculatus sonoriensis,47.24,-121.19
Peromyscus maniculatus sonoriensis,59.56,-133.67
Peromyscus maniculatus sonoriensis,59.56,-133.67
Peromyscus maniculatus sonoriensis,59.56,-133.67
Peromyscus maniculatus sonoriensis,59.56,-133.67
Peromyscus maniculatus sonoriensis,59.56,-133.67
Peromyscus maniculatus sonoriensis,59.56,-133.67
